path_id,point_index,x,y
0,0,838.68,346.59
0,1,839.35,347.34
0,2,840.21,346.84
0,3,841.02,346.25
0,4,841.24,345.27
0,5,842.10,344.76
0,6,843.05,344.47
0,7,844.01,344.17
0,8,845.00,344.28
0,9,845.99,344.40
0,10,846.66,345.14
0,11,847.23,345.96
0,12,847.16,346.96
0,13,847.84,347.70
0,14,848.83,347.81
0,15,849.74,348.22
1,0,97.78,202.81
1,1,98.64,202.30
1,2,98.88,201.32
1,3,98.50,200.40
1,4,97.91,199.59
1,5,98.25,198.65
1,6,98.37,197.66
1,7,99.16,197.05
1,8,99.48,196.10
1,9,100.37,195.65
1,10,101.36,195.51
1,11,102.36,195.61
1,12,103.12,196.26
1,13,103.67,197.09
1,14,104.65,197.29
1,15,105.23,198.11
2,0,749.94,42.98
2,1,750.25,42.03
2,2,749.94,41.08
2,3,749.66,40.12
2,4,749.16,39.25
2,5,748.87,38.29
2,6,749.76,37.84
2,7,750.65,37.38
2,8,751.09,36.48
2,9,751.90,35.89
2,10,752.89,35.78
2,11,753.89,35.83
2,12,754.71,36.40
2,13,755.34,37.18
2,14,755.96,37.96
2,15,756.58,38.75
3,0,127.03,169.33
3,1,127.19,170.31
3,2,126.68,171.18
3,3,126.51,172.16
3,4,126.40,173.15
3,5,126.75,174.09
3,6,127.65,174.53
3,7,128.03,175.45
3,8,128.72,176.18
3,9,129.70,176.37
3,10,130.68,176.57
3,11,131.66,176.35
3,12,132.25,175.54
3,13,132.67,174.64
3,14,133.62,174.32
3,15,134.17,173.48
4,0,738.75,331.68
4,1,739.58,332.24
4,2,740.58,332.24
4,3,741.58,332.15
4,4,742.55,332.40
4,5,743.14,333.21
4,6,743.46,334.15
4,7,744.34,334.62
4,8,744.71,335.55
4,9,745.64,335.93
4,10,746.34,336.64
4,11,747.33,336.79
4,12,748.28,336.48
4,13,748.78,335.61
4,14,749.68,335.18
4,15,749.98,334.22
5,0,858.36,110.75
5,1,859.36,110.64
5,2,860.29,111.00
5,3,860.69,111.92
5,4,861.09,112.83
5,5,861.05,113.83
5,6,860.41,114.60
5,7,859.43,114.78
5,8,858.46,115.03
5,9,857.80,115.78
5,10,857.83,116.78
5,11,858.36,117.63
5,12,858.90,118.47
5,13,859.88,118.67
5,14,860.65,119.31
5,15,861.63,119.48
6,0,204.90,252.02
6,1,205.87,252.24
6,2,206.50,253.02
6,3,206.86,253.95
6,4,207.21,254.89
6,5,207.59,255.81
6,6,208.52,256.18
6,7,209.51,256.36
6,8,210.49,256.54
6,9,211.46,256.29
6,10,212.02,255.46
6,11,212.40,254.53
6,12,213.33,254.16
6,13,213.84,253.31
6,14,214.80,253.03
6,15,215.63,252.48
7,0,544.10,416.52
7,1,543.43,415.78
7,2,543.97,414.94
7,3,544.95,414.75
7,4,545.55,413.95
7,5,546.39,413.40
7,6,547.23,412.86
7,7,548.16,413.21
7,8,549.00,413.76
7,9,549.18,414.74
7,10,549.99,415.33
7,11,550.98,415.15
7,12,551.86,415.62
7,13,552.57,416.33
7,14,553.56,416.40
7,15,554.46,415.95
8,0,435.53,303.28
8,1,436.24,302.57
8,2,437.24,302.49
8,3,438.23,302.61
8,4,439.22,302.49
8,5,439.97,301.83
8,6,440.95,301.62
8,7,441.48,300.77
8,8,442.01,299.93
8,9,442.78,299.29
8,10,443.55,298.64
8,11,444.53,298.45
8,12,445.51,298.62
8,13,446.17,299.38
8,14,446.65,300.26
8,15,447.61,300.53
9,0,896.28,415.89
9,1,897.28,415.82
9,2,897.92,415.05
9,3,898.56,414.28
9,4,899.23,413.54
9,5,900.09,413.02
9,6,900.91,412.45
9,7,901.90,412.36
9,8,902.86,412.64
9,9,903.43,413.47
9,10,903.71,414.42
9,11,904.59,414.91
9,12,904.95,415.85
9,13,905.86,416.24
9,14,906.85,416.42
9,15,907.84,416.54
10,0,440.83,505.60
10,1,441.79,505.86
10,2,442.67,505.39
10,3,443.23,504.56
10,4,444.16,504.20
10,5,445.16,504.19
10,6,445.94,504.81
10,7,446.73,505.43
10,8,447.43,506.15
10,9,448.20,506.78
10,10,448.69,507.66
10,11,449.62,508.02
10,12,450.62,507.96
10,13,451.61,507.82
10,14,452.23,507.04
10,15,452.10,506.05
11,0,819.35,80.82
11,1,820.34,80.92
11,2,821.34,80.95
11,3,822.27,81.32
11,4,822.94,82.06
11,5,823.91,82.29
11,6,824.41,83.15
11,7,825.00,83.96
11,8,825.25,84.93
11,9,826.09,85.46
11,10,827.09,85.48
11,11,827.99,85.05
11,12,828.89,84.61
11,13,829.65,83.96
11,14,830.38,83.27
11,15,830.57,82.29
12,0,130.61,472.04
12,1,131.52,472.45
12,2,132.48,472.15
12,3,132.92,471.26
12,4,133.87,470.95
12,5,134.85,470.73
12,6,135.70,470.21
12,7,136.62,469.80
12,8,137.46,470.34
12,9,138.10,471.11
