path_id,point_index,x,y
0,0,79.46,308.17
0,1,80.12,304.22
0,2,82.01,300.70
0,3,84.37,297.47
0,4,83.59,293.55
0,5,79.59,293.34
0,6,76.10,291.40
0,7,72.10,291.49
0,8,69.97,288.11
0,9,71.01,284.25
0,10,70.19,280.33
0,11,69.07,276.49
0,12,71.20,273.11
0,13,75.13,273.83
0,14,78.21,271.29
0,15,81.44,268.92
0,16,83.84,265.72
0,17,86.56,262.79
0,18,90.10,260.93
0,19,94.02,260.13
0,20,97.91,259.20
0,21,101.80,260.13
0,22,105.54,261.56
0,23,108.91,263.71
0,24,111.89,266.38
0,25,115.73,267.50
0,26,119.52,268.76
0,27,123.52,268.88
0,28,127.51,269.17
0,29,131.47,269.76
0,30,135.09,271.46
1,0,759.35,397.56
1,1,757.96,401.31
1,2,756.04,404.82
1,3,754.70,408.59
1,4,754.72,412.59
1,5,756.30,416.26
1,6,758.19,419.79
1,7,760.08,423.31
1,8,762.99,426.05
1,9,766.49,427.99
1,10,770.22,429.43
1,11,773.80,427.64
1,12,777.12,425.40
1,13,778.10,421.53
1,14,779.57,417.80
1,15,782.22,414.81
1,16,785.84,413.11
1,17,789.66,411.91
1,18,793.30,413.57
1,19,797.29,413.28
1,20,801.22,412.58
2,0,430.49,16.61
2,1,433.32,13.77
2,2,436.30,11.11
2,3,438.15,7.56
2,4,441.79,5.91
2,5,444.94,3.45
2,6,448.23,1.18
2,7,449.34,-2.66
3,0,308.36,39.67
3,1,305.23,42.16
3,2,301.31,42.97
3,3,297.88,45.02
3,4,295.98,48.54
3,5,294.58,52.29
3,6,292.45,55.68
3,7,290.33,59.06
3,8,288.99,62.83
3,9,286.45,65.92
3,10,283.07,68.07
3,11,279.93,70.54
3,12,277.63,73.82
3,13,274.97,76.80
3,14,276.72,80.41
3,15,274.99,84.02
3,16,277.32,87.27
3,17,274.91,90.46
3,18,276.02,94.31
3,19,274.57,98.04
3,20,278.54,97.52
3,21,281.51,100.20
3,22,285.47,100.76
3,23,287.96,103.89
3,24,290.45,107.03
3,25,293.77,109.25
3,26,297.77,109.41
3,27,300.76,112.06
3,28,302.62,115.60
3,29,304.48,119.14
3,30,305.28,123.06
4,0,586.54,549.00
4,1,588.16,545.34
4,2,591.32,547.80
4,3,594.47,550.27
4,4,597.97,548.35
4,5,601.63,546.71
4,6,605.33,548.21
4,7,609.05,546.74
4,8,613.01,547.37
4,9,616.31,549.62
4,10,617.74,553.36
4,11,620.51,556.24
4,12,622.32,559.81
4,13,624.13,563.37
4,14,626.47,566.61
4,15,628.43,570.10
4,16,629.74,573.88
4,17,631.12,577.64
4,18,632.35,581.44
4,19,630.28,584.87
4,20,632.47,588.22
4,21,635.19,591.15
4,22,637.92,594.08
4,23,641.89,594.56
4,24,645.87,594.92
4,25,649.81,594.20
4,26,652.83,591.58
4,27,656.28,589.55
4,28,659.33,586.97
4,29,663.31,586.56
4,30,667.23,585.74
5,0,702.65,155.97
5,1,702.43,151.98
5,2,701.42,148.10
5,3,700.42,144.23
5,4,698.24,140.87
5,5,694.79,138.85
5,6,690.84,138.24
5,7,687.41,140.30
5,8,687.99,144.26
5,9,688.81,148.18
5,10,685.59,150.54
5,11,686.34,154.47
5,12,687.03,158.41
5,13,687.13,162.41
5,14,686.85,166.40
5,15,685.93,170.30
5,16,683.32,173.33
5,17,679.52,174.58
5,18,676.08,176.62
5,19,672.27,175.40
5,20,669.68,178.45
5,21,668.32,182.21
5,22,665.83,185.34
5,23,665.54,189.33
5,24,662.51,191.94
5,25,661.10,195.68
5,26,657.27,196.85
5,27,654.49,199.73
5,28,655.23,203.66
5,29,656.24,207.53
5,30,653.13,210.04
6,0,782.40,620.07
6,1,786.34,620.73
6,2,790.34,620.72
6,3,794.18,619.57
6,4,797.56,617.45
6,5,799.67,614.05
6,6,803.05,611.90
7,0,706.15,238.62
7,1,710.00,237.54
7,2,710.27,233.55
7,3,713.34,230.99
7,4,714.79,227.26
7,5,716.32,223.57
7,6,713.85,220.43
7,7,715.18,216.65
7,8,715.78,212.70
7,9,714.77,208.83
7,10,712.49,205.55
7,11,710.23,202.24
7,12,707.91,198.98
7,13,705.33,195.93
7,14,702.86,192.78
7,15,701.48,189.03
7,16,701.01,185.06
7,17,700.69,181.07
7,18,700.10,177.11
7,19,698.77,173.34
7,20,695.71,170.76
7,21,691.77,170.08
7,22,688.11,171.69
7,23,684.45,173.30
7,24,680.47,173.74
7,25,676.67,174.99
7,26,673.23,177.03
7,27,669.36,178.02
7,28,668.00,181.79
7,29,665.51,184.92
7,30,665.22,188.91
8,0,218.97,22.65
8,1,222.96,22.28
8,2,226.74,20.99
8,3,228.93,17.64
8,4,229.43,13.67
8,5,231.47,10.23
8,6,233.21,6.63
8,7,231.02,3.28
8,8,229.94,-0.57
9,0,30.52,498.64
9,1,26.77,497.26
9,2,22.95,496.08
9,3,18.96,496.41
9,4,15.36,498.14
9,5,12.23,500.63
9,6,8.51,499.16
9,7,6.44,502.58
9,8,2.91,504.45
9,9,-0.68,502.67
10,0,719.89,459.23
10,1,718.68,455.41
10,2,717.23,451.69
10,3,715.81,447.95
10,4,715.94,443.95
10,5,717.54,440.29
10,6,715.59,436.80
10,7,718.00,433.61
10,8,719.77,430.02
10,9,723.47,428.51
10,10,726.81,426.31
10,11,730.37,428.14
10,12,733.64,425.83
10,13,737.55,426.69
10,14,741.52,427.20
10,15,745.51,426.98
10,16,749.32,425.77
10,17,753.14,424.57
10,18,757.13,424.89
10,19,760.74,426.60
10,20,764.24,428.54
10,21,768.23,428.87
10,22,771.81,427.09
10,23,775.80,427.31
10,24,779.11,425.07
10,25,780.10,421.19
10,26,779.72,417.21
10,27,782.37,414.21
10,28,785.99,412.52
10,29,789.81,411.31
10,30,793.45,412.98
11,0,472.34,371.35
11,1,474.58,374.67
11,2,476.15,378.35
11,3,478.29,381.72
11,4,479.42,385.56
11,5,477.88,389.25
11,6,474.00,390.23
11,7,470.05,389.62
11,8,466.15,388.76
11,9,462.25,389.65
11,10,458.93,391.89
11,11,456.05,394.66
11,12,452.19,395.73
11,13,448.89,397.99
11,14,445.16,399.43
11,15,442.76,402.63
11,16,440.09,405.61
11,17,437.78,408.88
11,18,435.49,412.16
11,19,432.26,414.51
11,20,429.03,416.87
11,21,425.78,419.20
11,22,422.40,421.35
11,23,418.41,421.05
11,24,414.87,419.19
11,25,411.05,420.35
11,26,408.50,417.27
11,27,404.96,419.15
11,28,402.17,422.01
11,29,398.54,420.34
11,30,395.31,417.98
12,0,639.42,696.32
12,1,643.42,696.50
12,2,647.34,697.26
12,3,651.34,697.20
12,4,654.82,695.23
12,5,655.34,691.26
12,6,653.90,687.53
12,7,650.82,684.98
12,8,647.09,683.54
12,9,643.68,685.64
12,10,639.71,686.15
12,11,635.72,686.43
12,12,631.72,686.38
12,13,627.72,686.30
12,14,623.76,685.75
12,15,619.82,685.06
12,16,615.85,684.53
12,17,611.94,683.70
12,18,608.03,682.84
12,19,604.13,681.98
12,20,600.13,682.21
12,21,596.24,683.14
12,22,592.33,682.32
12,23,589.94,679.11
12,24,586.20,677.68
12,25,582.69,675.76
12,26,578.87,676.93
12,27,577.23,673.28
12,28,573.28,672.68
12,29,570.00,670.39
12,30,567.59,667.19
13,0,430.06,697.72
13,1,427.61,700.89
13,2,426.53,704.74
13,3,425.42,708.58
13,4,424.30,712.42
13,5,423.93,716.41
13,6,426.84,719.16
13,7,427.74,723.05
13,8,429.25,726.75
13,9,428.26,730.63
13,10,426.54,734.24
13,11,425.73,738.16
13,12,424.65,742.01
13,13,423.47,745.83
13,14,422.50,749.71
13,15,422.25,753.70
13,16,421.58,757.65
13,17,419.36,760.98
13,18,417.90,764.70
13,19,418.16,768.69
13,20,419.75,772.36
13,21,422.00,775.67
13,22,423.77,779.26
13,23,426.70,781.98
13,24,429.38,784.95
13,25,431.14,788.54
13,26,434.68,790.40
13,27,437.56,793.18
13,28,439.79,796.50
13,29,443.59,797.73
13,30,447.01,799.81
14,0,283.92,594.61
14,1,287.30,596.75
14,2,287.29,600.75
14,3,284.52,603.64
14,4,281.76,606.53
14,5,277.93,607.68
14,6,274.54,609.81
14,7,271.13,611.90
14,8,269.13,615.36
14,9,265.73,617.46
14,10,263.02,620.40
14,11,259.90,622.91
14,12,255.90,623.17
14,13,252.87,620.56
14,14,249.84,617.95
14,15,246.12,616.47
14,16,242.45,614.88
14,17,238.46,615.02
14,18,234.47,615.34
14,19,230.50,615.86
14,20,226.50,615.99
14,21,222.55,615.38
14,22,218.57,614.97
14,23,214.65,615.76
14,24,210.98,617.34
14,25,206.98,617.41
14,26,203.18,616.16
14,27,199.57,614.44
14,28,195.61,614.98
14,29,193.76,618.53
14,30,191.33,621.71
15,0,676.85,116.65
15,1,678.97,113.26
15,2,681.05,109.85
15,3,682.33,106.05
15,4,681.91,102.08
15,5,681.89,98.08
15,6,684.66,95.19
15,7,688.40,93.76
15,8,691.34,91.05
15,9,695.11,89.72
15,10,698.65,87.87
15,11,702.43,86.54
15,12,705.79,84.37
15,13,709.37,82.58
15,14,713.37,82.71
15,15,717.17,83.96
15,16,720.60,86.01
15,17,724.23,87.68
15,18,728.07,88.83
15,19,731.72,87.20
15,20,735.72,87.10
15,21,739.54,85.93
15,22,743.24,84.41
15,23,746.52,82.12
15,24,748.09,78.44
15,25,744.57,76.54
15,26,745.27,72.60
15,27,743.79,68.88
15,28,742.69,65.04
15,29,738.70,64.75
15,30,735.05,63.12
16,0,705.73,733.81
16,1,707.35,730.15
16,2,708.04,726.21
16,3,704.19,725.14
16,4,704.50,721.15
16,5,704.80,717.16
16,6,706.14,713.39
16,7,709.25,710.88
