path_id,point_index,x,y
0,0,444.64,291.44
0,1,442.50,292.75
0,2,440.42,294.14
0,3,438.51,295.75
0,4,436.92,297.68
0,5,435.74,299.88
0,6,434.57,302.09
0,7,433.79,304.47
0,8,433.23,306.90
0,9,432.94,309.39
0,10,432.95,311.89
0,11,433.29,314.36
0,12,433.95,316.77
0,13,434.83,319.11
0,14,435.85,321.40
0,15,437.01,323.61
0,16,438.25,325.78
0,17,439.60,327.89
0,18,440.99,329.96
0,19,442.41,332.02
0,20,443.88,334.05
0,21,445.40,336.03
0,22,446.96,337.98
0,23,448.59,339.87
0,24,450.22,341.77
0,25,451.91,343.61
0,26,453.67,345.39
0,27,455.50,347.09
0,28,457.34,348.78
0,29,459.25,350.40
0,30,461.24,351.91
1,0,178.07,745.96
1,1,179.08,748.24
1,2,180.00,750.57
1,3,180.71,752.97
1,4,181.35,755.38
1,5,181.93,757.81
1,6,182.48,760.25
1,7,182.98,762.70
1,8,183.37,765.17
1,9,183.74,767.64
1,10,184.11,770.12
1,11,184.49,772.59
1,12,184.88,775.06
1,13,185.30,777.52
1,14,185.73,779.99
1,15,186.16,782.45
1,16,186.65,784.90
1,17,187.24,787.33
1,18,187.95,789.72
1,19,188.89,792.04
1,20,190.10,794.23
1,21,191.81,796.05
1,22,193.95,797.36
1,23,196.23,798.37
1,24,198.73,798.37
1,25,201.21,798.04
1,26,203.63,797.43
1,27,206.08,796.90
1,28,208.42,796.01
1,29,210.60,794.80
1,30,212.64,793.35
2,0,710.59,352.66
2,1,711.29,350.26
2,2,711.90,347.84
2,3,712.40,345.39
2,4,712.76,342.92
2,5,712.96,340.43
2,6,713.06,337.93
2,7,713.07,335.43
2,8,713.01,332.93
2,9,712.90,330.43
2,10,712.75,327.93
2,11,712.57,325.44
2,12,712.36,322.95
2,13,712.12,320.46
2,14,711.85,317.98
2,15,711.57,315.49
2,16,711.27,313.01
2,17,710.96,310.53
2,18,710.62,308.05
2,19,710.27,305.58
2,20,709.90,303.10
2,21,709.49,300.64
2,22,709.05,298.18
2,23,708.58,295.72
2,24,708.09,293.27
2,25,707.56,290.83
2,26,706.99,288.39
2,27,706.37,285.97
2,28,705.70,283.56
2,29,704.98,281.17
2,30,704.19,278.80
3,0,16.62,248.13
3,1,14.20,247.52
3,2,11.81,246.78
3,3,10.08,244.97
3,4,8.86,242.79
3,5,7.90,240.49
3,6,7.20,238.08
3,7,6.83,235.61
3,8,6.56,233.13
