path_id,point_index,x,y
0,0,301.87,348.65
0,1,303.51,345.56
0,2,305.20,342.49
0,3,307.28,339.67
0,4,309.35,336.86
0,5,311.71,334.27
0,6,314.25,331.86
0,7,316.87,329.55
0,8,319.54,327.28
0,9,322.37,325.22
0,10,325.53,323.72
0,11,328.54,321.93
0,12,332.00,322.46
0,13,333.16,319.15
0,14,329.92,320.49
0,15,331.50,323.61
0,16,332.66,320.31
0,17,329.42,321.64
0,18,331.00,324.77
0,19,332.16,321.46
0,20,333.73,324.59
0,21,331.16,322.22
0,22,332.32,318.91
0,23,333.89,322.04
0,24,331.32,319.66
0,25,332.90,322.79
0,26,330.32,320.42
0,27,331.90,323.54
0,28,333.06,320.24
0,29,329.82,321.57
0,30,331.40,324.70
1,0,93.30,235.44
1,1,96.79,235.66
1,2,100.28,235.97
1,3,103.75,236.41
1,4,107.20,236.99
1,5,110.64,237.63
1,6,114.08,238.29
1,7,117.52,238.95
1,8,120.96,239.55
1,9,124.42,240.13
1,10,127.87,240.67
1,11,131.33,241.21
1,12,134.79,241.74
1,13,138.24,242.31
1,14,141.68,242.99
1,15,145.06,243.88
1,16,148.34,245.11
1,17,151.14,247.21
1,18,153.17,250.06
1,19,154.04,253.45
1,20,150.73,254.58
1,21,148.45,257.23
1,22,151.48,255.48
1,23,149.20,258.14
1,24,152.23,256.39
1,25,152.47,252.90
1,26,150.18,255.55
1,27,153.22,253.81
1,28,150.94,256.46
1,29,151.17,252.97
1,30,148.89,255.62
2,0,512.72,81.50
2,1,511.87,84.89
2,2,508.62,86.19
2,3,511.82,87.60
2,4,508.91,85.66
2,5,512.11,87.08
2,6,508.86,88.37
2,7,512.11,87.07
2,8,508.86,88.37
2,9,512.10,87.06
2,10,508.85,88.36
2,11,512.10,87.06
2,12,508.85,88.35
2,13,512.10,87.05
2,14,508.85,88.35
2,15,512.10,87.04
2,16,508.85,88.34
2,17,512.09,87.04
2,18,508.84,88.33
2,19,512.09,87.03
2,20,508.84,88.33
2,21,512.09,87.02
2,22,508.84,88.32
2,23,512.09,87.02
2,24,508.83,88.31
2,25,512.08,87.01
2,26,508.83,88.31
2,27,512.08,87.00
2,28,508.83,88.30
2,29,512.08,87.00
2,30,508.83,88.29
3,0,533.14,98.25
3,1,532.56,101.70
3,2,531.98,105.15
3,3,531.19,108.56
3,4,530.33,111.96
3,5,529.47,115.35
3,6,528.51,118.71
3,7,527.46,122.05
3,8,525.98,125.22
3,9,524.49,128.39
3,10,522.76,131.44
3,11,521.31,134.62
3,12,520.10,137.90
3,13,519.01,141.23
3,14,517.85,144.53
3,15,516.71,147.84
3,16,514.93,150.86
3,17,512.09,152.89
3,18,509.52,155.28
3,19,512.35,153.21
3,20,509.79,155.60
3,21,512.62,153.53
3,22,510.05,155.92
3,23,512.88,153.85
3,24,510.32,156.24
3,25,513.14,154.17
3,26,510.68,151.69
3,27,513.40,153.89
3,28,510.84,156.27
3,29,513.66,154.21
3,30,511.20,151.73
4,0,807.46,291.70
4,1,807.67,288.21
4,2,810.81,286.65
4,3,810.40,290.13
4,4,812.63,287.43
4,5,809.21,286.66
4,6,808.80,290.13
4,7,811.03,287.43
4,8,813.26,284.73
4,9,810.12,286.29
4,10,809.71,289.76
4,11,811.94,287.06
4,12,814.17,284.36
4,13,811.03,285.91
4,14,810.62,289.39
4,15,812.85,286.69
4,16,809.71,288.24
4,17,811.94,285.54
4,18,811.53,289.02
4,19,813.76,286.32
4,20,810.62,287.87
4,21,812.85,285.17
4,22,809.71,286.72
4,23,809.30,290.20
4,24,811.53,287.50
4,25,813.76,284.80
4,26,810.62,286.35
4,27,810.21,289.83
4,28,812.44,287.13
4,29,809.03,286.35
4,30,808.62,289.83
5,0,441.58,86.44
5,1,443.57,89.32
5,2,445.72,92.08
5,3,448.02,94.72
5,4,448.66,98.16
5,5,448.99,101.64
5,6,449.23,105.13
5,7,449.48,108.63
5,8,449.79,112.11
5,9,450.33,115.57
5,10,451.77,118.76
5,11,450.11,121.84
5,12,453.35,120.53
5,13,449.93,119.79
5,14,453.18,118.47
5,15,451.52,121.55
5,16,448.10,120.81
5,17,451.34,119.50
5,18,454.58,118.18
5,19,452.93,121.26
5,20,449.51,120.52
5,21,452.75,119.21
5,22,449.33,118.47
5,23,450.77,121.66
5,24,454.01,120.34
5,25,450.59,119.60
5,26,453.83,118.28
5,27,452.17,121.37
5,28,448.75,120.63
5,29,452.00,119.31
5,30,448.57,118.57
6,0,421.14,365.43
6,1,421.39,361.94
6,2,421.67,358.45
6,3,421.96,354.96
6,4,422.27,351.48
6,5,422.59,347.99
6,6,422.94,344.51
6,7,423.30,341.03
6,8,423.67,337.55
6,9,424.62,334.18
6,10,425.63,330.83
6,11,426.72,327.50
6,12,427.92,324.22
6,13,429.88,321.31
6,14,431.99,318.53
6,15,434.60,316.19
6,16,437.70,314.57
6,17,441.09,313.68
6,18,444.58,313.79
6,19,447.68,315.42
6,20,450.84,316.93
6,21,452.24,320.14
6,22,449.29,322.03
6,23,451.30,319.16
6,24,453.95,321.45
6,25,451.01,323.34
6,26,453.01,320.47
6,27,450.07,322.36
6,28,452.08,319.49
6,29,449.13,321.38
6,30,451.78,323.67
7,0,554.65,441.30
7,1,555.22,437.85
7,2,555.76,434.39
7,3,556.33,430.94
7,4,557.00,427.50
7,5,558.05,424.17
7,6,559.37,420.92
7,7,560.86,417.76
7,8,562.94,414.94
7,9,564.58,411.85
7,10,565.56,408.49
7,11,566.10,405.03
7,12,566.56,401.56
7,13,567.15,398.11
7,14,567.52,394.63
7,15,568.50,391.27
7,16,571.28,389.14
7,17,569.01,386.48
7,18,572.10,388.14
7,19,570.08,391.00
7,20,572.86,388.87
7,21,570.59,386.20
7,22,568.57,389.06
7,23,571.35,386.93
7,24,569.33,389.79
7,25,572.11,387.67
7,26,570.09,390.53
7,27,572.87,388.40
7,28,570.85,391.26
7,29,568.58,388.59
7,30,571.36,386.46
8,0,504.09,140.31
8,1,504.86,143.73
8,2,505.95,147.05
8,3,507.69,150.09
8,4,508.63,153.46
8,5,511.35,155.66
8,6,508.88,153.18
8,7,511.60,155.38
8,8,509.14,152.90
8,9,511.86,155.10
8,10,509.39,152.61
8,11,512.11,154.82
8,12,509.65,152.33
8,13,512.37,154.53
8,14,509.91,152.05
8,15,512.63,154.25
8,16,510.16,151.76
8,17,512.88,153.97
8,18,510.32,156.35
8,19,513.15,154.29
8,20,510.68,151.80
8,21,513.40,154.00
8,22,510.94,151.52
8,23,513.66,153.72
8,24,511.09,156.10
8,25,508.63,153.62
