path_id,point_index,x,y
0,0,167.96,302.81
0,1,166.66,300.10
0,2,165.37,297.40
0,3,162.59,296.27
0,4,164.00,298.92
0,5,166.58,297.38
0,6,163.80,296.25
0,7,165.21,298.89
0,8,162.43,297.76
0,9,165.00,296.22
0,10,163.15,298.58
0,11,165.73,297.04
0,12,162.95,295.91
0,13,164.36,298.56
0,14,166.94,297.02
0,15,164.16,295.89
0,16,165.57,298.54
0,17,162.79,297.41
0,18,165.36,295.87
0,19,163.51,298.23
0,20,166.09,296.69
0,21,164.23,299.05
0,22,166.81,297.51
0,23,164.03,296.38
0,24,165.44,299.03
0,25,162.66,297.90
0,26,165.24,296.36
0,27,163.39,298.72
0,28,165.96,297.18
0,29,163.18,296.05
0,30,164.59,298.69
1,0,328.69,178.38
1,1,326.24,176.66
1,2,323.74,174.99
1,3,321.35,173.19
1,4,318.80,171.59
1,5,316.37,169.84
1,6,313.88,168.18
1,7,311.54,166.29
1,8,309.15,164.48
1,9,306.46,163.14
1,10,303.98,161.47
1,11,301.28,160.15
1,12,299.26,157.93
1,13,301.86,159.43
1,14,299.84,157.21
1,15,302.43,158.72
1,16,299.46,159.13
1,17,300.09,156.19
1,18,297.12,156.60
1,19,299.71,158.10
1,20,302.30,159.61
1,21,300.29,157.39
1,22,297.31,157.80
1,23,299.91,159.30
1,24,300.54,156.37
1,25,297.56,156.78
1,26,300.16,158.28
1,27,297.18,158.69
1,28,299.78,160.19
1,29,300.41,157.26
1,30,297.43,157.67
2,0,252.88,768.91
2,1,250.03,767.98
2,2,247.08,767.44
2,3,244.15,766.76
2,4,241.29,765.85
2,5,238.60,764.53
2,6,235.63,764.96
2,7,238.22,766.48
2,8,236.20,764.26
2,9,238.79,765.78
2,10,236.77,763.56
2,11,239.36,765.08
2,12,237.34,762.86
2,13,234.37,763.29
2,14,236.96,764.81
2,15,239.54,766.33
2,16,237.53,764.11
2,17,234.56,764.54
2,18,237.14,766.06
2,19,235.13,763.84
2,20,237.71,765.36
2,21,235.70,763.14
2,22,238.28,764.66
2,23,235.31,765.09
2,24,235.97,762.16
2,25,238.56,763.68
2,26,235.59,764.11
2,27,238.17,765.63
2,28,236.16,763.41
2,29,238.74,764.93
2,30,235.77,765.36
3,0,22.55,436.01
3,1,24.42,433.67
3,2,26.15,431.22
3,3,28.50,429.36
3,4,29.79,426.65
3,5,32.53,425.42
3,6,31.10,428.06
3,7,28.64,426.35
3,8,31.37,425.12
3,9,29.95,427.76
3,10,32.68,426.53
3,11,30.22,424.82
3,12,28.79,427.46
3,13,31.53,426.23
3,14,29.06,424.52
3,15,30.98,426.83
3,16,28.52,425.12
3,17,30.44,427.42
3,18,27.97,425.72
3,19,29.89,428.02
3,20,32.63,426.79
3,21,30.16,425.08
3,22,28.73,427.72
3,23,31.47,426.49
3,24,29.00,424.79
3,25,30.93,427.09
3,26,28.46,425.38
3,27,30.38,427.69
3,28,27.91,425.98
3,29,29.83,428.28
3,30,32.57,427.05
4,0,240.98,457.11
4,1,239.99,454.28
4,2,239.14,451.40
4,3,238.23,448.55
4,4,237.23,445.72
4,5,236.12,442.93
4,6,235.22,440.07
4,7,234.20,437.25
4,8,233.02,434.49
4,9,232.14,431.62
4,10,231.06,428.82
4,11,229.65,426.17
4,12,229.17,423.21
4,13,228.43,420.31
4,14,226.84,417.76
4,15,229.47,419.20
4,16,227.04,420.96
4,17,228.95,418.65
4,18,226.52,420.41
4,19,228.43,418.10
4,20,226.00,419.86
4,21,228.63,421.30
4,22,227.04,418.75
4,23,229.67,420.20
4,24,228.08,417.65
4,25,225.65,419.41
4,26,228.28,420.85
4,27,226.69,418.31
4,28,229.32,419.75
4,29,226.89,421.51
4,30,228.80,419.20
5,0,75.21,79.67
5,1,77.20,81.92
5,2,79.28,84.08
5,3,81.35,86.25
5,4,83.30,88.53
5,5,85.37,90.70
5,6,87.43,92.88
5,7,89.34,95.20
5,8,91.39,97.38
5,9,93.43,99.58
5,10,95.46,101.80
5,11,97.48,104.01
5,12,99.48,106.25
5,13,101.44,108.52
5,14,103.79,110.38
5,15,105.66,112.73
5,16,107.20,115.30
5,17,110.17,115.68
5,18,107.25,116.37
5,19,110.23,116.74
5,20,107.31,117.43
5,21,109.04,114.98
5,22,106.11,115.66
5,23,109.09,116.04
5,24,106.17,116.72
5,25,109.14,117.10
5,26,108.07,114.30
5,27,105.15,114.98
5,28,108.12,115.36
5,29,105.20,116.04
5,30,108.18,116.42
6,0,283.65,347.30
6,1,281.05,345.80
6,2,278.57,344.10
6,3,276.02,342.53
6,4,273.46,340.96
6,5,270.77,339.64
6,6,268.33,337.89
6,7,265.62,336.60
6,8,264.67,333.76
6,9,263.45,336.50
6,10,265.91,334.78
6,11,264.70,337.52
6,12,263.74,334.68
6,13,266.39,336.09
6,14,265.44,333.24
6,15,264.22,335.99
6,16,263.01,338.73
6,17,265.47,337.01
6,18,264.51,334.16
6,19,263.30,336.91
6,20,265.76,335.18
6,21,264.55,337.93
6,22,263.59,335.08
6,23,266.24,336.50
6,24,265.28,333.65
6,25,264.07,336.40
6,26,263.12,333.55
6,27,265.77,334.96
6,28,264.55,337.71
6,29,263.60,334.86
6,30,266.25,336.28
7,0,93.64,783.39
7,1,91.09,784.96
7,2,89.09,787.20
7,3,87.61,789.81
7,4,86.75,786.94
7,5,89.51,788.12
7,6,88.03,790.73
7,7,87.16,787.86
7,8,85.68,790.47
7,9,88.01,788.57
7,10,86.53,791.18
7,11,88.85,789.29
7,12,87.99,786.41
7,13,86.51,789.02
7,14,88.84,787.13
7,15,87.36,789.74
7,16,86.50,786.86
7,17,89.25,788.05
7,18,87.77,790.66
7,19,86.91,787.78
7,20,89.67,788.97
7,21,88.19,791.58
7,22,87.32,788.70
7,23,85.84,791.31
7,24,88.17,789.42
7,25,87.31,786.54
7,26,85.83,789.15
7,27,88.15,787.26
7,28,86.67,789.87
7,29,89.00,787.97
7,30,87.52,790.58
8,0,11.43,504.01
8,1,12.17,501.10
8,2,12.82,498.17
8,3,13.49,495.25
8,4,14.19,492.33
8,5,14.93,489.42
8,6,15.69,486.52
8,7,16.36,483.60
8,8,17.05,480.68
8,9,17.79,477.77
8,10,18.56,474.87
8,11,19.21,471.94
8,12,19.90,469.02
8,13,20.63,466.12
8,14,21.42,463.22
8,15,22.04,460.29
8,16,22.72,457.36
8,17,23.46,454.46
8,18,24.27,451.57
8,19,24.84,448.62
8,20,25.49,445.69
8,21,26.23,442.79
8,22,27.11,439.92
8,23,27.53,436.95
8,24,28.07,434.00
8,25,28.85,431.10
8,26,30.14,428.39
8,27,27.67,426.68
8,28,30.41,425.45
8,29,28.98,428.09
8,30,31.72,426.86
9,0,522.65,646.19
9,1,521.91,643.28
9,2,521.26,640.35
9,3,520.58,637.43
9,4,519.87,634.52
9,5,519.12,631.61
9,6,518.32,628.72
9,7,517.66,625.79
9,8,516.95,622.88
9,9,516.19,619.98
9,10,515.38,617.09
9,11,514.73,614.16
9,12,514.03,611.24
9,13,513.26,608.34
9,14,512.41,605.46
9,15,511.80,602.53
9,16,511.11,599.61
9,17,510.31,596.71
9,18,509.37,593.87
9,19,508.89,590.91
9,20,508.26,587.97
9,21,507.32,585.12
9,22,506.38,582.28
9,23,507.51,579.50
9,24,504.54,579.93
9,25,507.45,580.65
9,26,504.48,581.09
9,27,507.39,581.81
9,28,504.43,582.25
9,29,505.56,579.47
9,30,508.47,580.19
10,0,500.26,550.41
10,1,497.95,552.33
10,2,495.58,554.16
10,3,493.20,556.00
10,4,490.70,557.65
10,5,488.88,560.04
10,6,488.82,563.04
10,7,488.79,560.04
10,8,488.72,563.04
10,9,488.69,560.04
10,10,488.62,563.04
10,11,488.59,560.04
10,12,488.52,563.03
10,13,488.49,560.04
10,14,488.43,563.03
10,15,488.39,560.03
10,16,488.33,563.03
10,17,488.30,560.03
10,18,488.23,563.03
10,19,488.20,560.03
10,20,488.13,563.03
10,21,488.10,560.03
10,22,488.03,563.03
10,23,488.00,560.03
10,24,487.94,563.03
10,25,487.91,560.03
10,26,487.84,563.03
10,27,487.81,560.03
10,28,487.74,563.03
10,29,487.71,560.03
10,30,487.64,563.03
11,0,321.64,549.91
11,1,324.19,551.49
11,2,326.67,553.16
11,3,329.26,554.68
11,4,331.79,556.30
11,5,334.35,557.85
11,6,336.84,559.53
11,7,339.37,561.14
11,8,341.97,562.63
11,9,344.57,564.13
11,10,347.26,565.47
11,11,349.82,567.03
11,12,352.51,568.36
11,13,354.97,570.08
11,14,357.66,571.40
11,15,359.25,573.94
11,16,361.77,572.31
11,17,359.93,574.68
11,18,362.45,573.05
11,19,359.79,571.66
11,20,361.38,574.20
11,21,358.73,572.81
11,22,360.32,575.35
11,23,357.66,573.96
11,24,360.18,572.33
11,25,358.34,574.70
11,26,360.86,573.07
11,27,358.20,571.68
11,28,359.79,574.22
11,29,362.31,572.59
11,30,360.47,574.96
12,0,481.15,390.16
12,1,479.78,392.83
12,2,479.11,395.76
12,3,478.19,398.61
12,4,476.80,401.27
12,5,477.71,404.13
12,6,475.06,402.72
12,7,476.19,399.94
12,8,477.10,402.80
12,9,474.45,401.39
12,10,475.36,404.25
12,11,476.49,401.47
12,12,477.40,404.33
12,13,474.75,402.92
12,14,475.89,400.15
12,15,476.79,403.01
12,16,477.93,400.23
12,17,475.45,401.92
12,18,476.36,404.78
12,19,477.49,402.00
12,20,474.85,400.59
12,21,475.75,403.45
12,22,476.89,400.68
12,23,477.79,403.54
12,24,475.15,402.13
12,25,476.28,399.35
12,26,477.19,402.21
12,27,474.54,400.80
12,28,475.45,403.66
12,29,476.58,400.88
12,30,477.49,403.74
13,0,125.74,95.37
13,1,123.93,97.77
13,2,121.95,100.02
13,3,120.00,102.30
13,4,118.09,104.62
13,5,116.19,106.93
13,6,114.37,109.32
13,7,112.12,111.31
13,8,109.78,113.18
13,9,108.85,116.04
13,10,105.93,116.72
13,11,108.91,117.10
13,12,107.83,114.30
13,13,110.81,114.67
13,14,107.89,115.36
13,15,110.86,115.74
13,16,107.94,116.42
13,17,110.92,116.80
13,18,108.00,117.48
13,19,109.73,115.03
13,20,106.80,115.71
13,21,109.78,116.09
13,22,106.86,116.77
13,23,109.83,117.15
13,24,108.76,114.35
13,25,105.84,115.03
13,26,108.81,115.41
13,27,105.89,116.09
13,28,108.87,116.47
13,29,105.95,117.16
13,30,107.68,114.71
14,0,271.56,354.75
14,1,270.61,351.91
14,2,269.51,349.11
14,3,268.75,346.21
14,4,267.80,343.37
14,5,266.54,340.64
14,6,266.18,337.67
14,7,265.23,334.82
14,8,264.02,337.57
14,9,263.06,334.72
14,10,265.71,336.13
14,11,264.75,333.29
14,12,263.54,336.03
14,13,266.00,334.31
14,14,264.79,337.05
14,15,263.83,334.21
14,16,266.48,335.62
14,17,265.27,338.36
14,18,264.31,335.52
14,19,263.10,338.27
14,20,265.56,336.54
14,21,264.60,333.70
14,22,263.39,336.44
14,23,265.85,334.72
14,24,264.63,337.46
14,25,263.68,334.62
14,26,266.33,336.03
14,27,265.37,333.18
14,28,264.16,335.93
14,29,262.95,338.67
14,30,265.40,336.95
15,0,152.43,768.38
15,1,152.60,771.38
15,2,152.78,774.37
15,3,152.99,777.36
15,4,153.21,780.36
15,5,153.06,783.35
15,6,152.90,786.35
15,7,153.24,789.33
15,8,153.00,792.32
15,9,153.55,795.27
15,10,153.10,798.23
15,11,152.37,801.14
15,12,154.84,802.84
15,13,152.93,805.16
15,14,155.18,803.17
15,15,153.26,805.48
15,16,151.63,802.96
15,17,154.10,804.66
15,18,152.47,802.14
15,19,154.94,803.85
15,20,153.03,806.16
15,21,151.40,803.64
15,22,153.87,805.34
15,23,152.24,802.82
15,24,154.71,804.52
15,25,153.08,802.00
15,26,151.17,804.31
15,27,153.42,802.33
15,28,151.50,804.64
15,29,153.75,802.66
15,30,151.84,804.97
16,0,272.20,258.41
16,1,269.23,258.85
16,2,266.27,259.35
16,3,263.33,259.94
16,4,260.42,260.65
16,5,257.55,261.55
16,6,254.56,261.69
16,7,251.57,261.91
16,8,248.63,262.51
16,9,251.51,263.34
16,10,248.57,263.94
16,11,251.45,264.78
16,12,249.78,262.28
16,13,246.84,262.88
16,14,249.73,263.71
16,15,246.79,264.31
16,16,248.06,261.59
16,17,250.94,262.43
16,18,248.00,263.03
16,19,250.88,263.86
16,20,247.94,264.46
16,21,249.21,261.74
16,22,246.27,262.34
16,23,249.15,263.18
16,24,246.21,263.77
16,25,249.10,264.61
16,26,247.43,262.11
16,27,250.31,262.95
16,28,247.37,263.55
16,29,250.25,264.38
16,30,248.59,261.89
17,0,108.19,47.04
17,1,108.30,44.04
17,2,108.41,41.04
17,3,108.55,38.04
17,4,108.71,35.05
17,5,108.92,32.05
17,6,109.20,29.07
17,7,109.64,26.10
17,8,110.58,23.25
17,9,112.97,25.07
17,10,110.94,22.86
17,11,113.33,24.67
17,12,111.30,22.47
17,13,108.40,23.26
17,14,110.79,25.07
17,15,111.73,22.22
17,16,108.84,23.01
17,17,111.23,24.83
17,18,109.20,22.62
17,19,111.59,24.44
17,20,109.55,22.23
17,21,111.94,24.04
17,22,109.91,21.84
17,23,112.30,23.65
17,24,109.41,24.44
17,25,110.35,21.59
17,26,112.74,23.41
17,27,109.84,24.20
17,28,110.79,21.35
17,29,113.17,23.16
17,30,110.28,23.95
18,0,21.53,683.32
18,1,21.97,686.29
18,2,22.50,689.25
18,3,23.14,692.18
18,4,23.95,695.06
18,5,25.06,697.85
18,6,24.98,700.85
18,7,24.73,703.84
18,8,24.54,700.85
18,9,24.29,703.84
18,10,24.10,700.84
18,11,23.84,703.83
18,12,26.42,702.30
18,13,26.23,699.31
18,14,25.98,702.30
18,15,25.79,699.30
18,16,25.54,702.29
18,17,25.35,699.30
18,18,25.10,702.29
18,19,24.91,699.29
18,20,24.66,702.28
18,21,24.47,699.29
18,22,24.21,702.28
18,23,24.02,699.28
18,24,23.77,702.27
18,25,26.35,700.74
18,26,26.10,703.73
18,27,25.91,700.74
18,28,25.66,703.73
18,29,25.47,700.73
18,30,25.21,703.72
19,0,357.05,344.49
19,1,354.28,343.36
19,2,351.54,342.12
19,3,348.88,340.74
19,4,346.13,339.53
19,5,343.47,338.15
19,6,340.70,337.00
19,7,338.05,335.59
19,8,335.22,334.60
19,9,332.61,333.12
19,10,330.97,330.61
19,11,328.01,331.08
19,12,330.93,331.76
19,13,327.97,332.24
19,14,330.89,332.92
19,15,327.93,333.40
19,16,329.17,330.66
19,17,332.10,331.34
19,18,329.13,331.82
19,19,332.06,332.50
19,20,329.09,332.98
19,21,332.02,333.65
19,22,330.38,331.14
19,23,327.42,331.62
19,24,330.34,332.29
19,25,327.38,332.77
19,26,330.30,333.45
19,27,328.66,330.94
19,28,331.59,331.61
19,29,328.62,332.09
19,30,331.55,332.77
20,0,65.71,734.82
20,1,67.18,737.44
20,2,68.50,740.13
20,3,70.02,742.72
20,4,71.33,745.42
20,5,72.94,747.95
20,6,74.23,750.66
20,7,76.16,752.96
20,8,76.39,755.95
20,9,77.31,758.80
20,10,77.75,755.83
20,11,78.68,758.69
20,12,76.30,756.86
20,13,76.73,753.89
20,14,77.66,756.75
20,15,78.10,753.78
20,16,75.26,754.76
20,17,76.19,757.61
20,18,76.62,754.65
20,19,77.55,757.50
20,20,77.99,754.53
20,21,78.91,757.38
20,22,76.53,755.56
20,23,77.46,758.41
20,24,77.90,755.45
20,25,78.82,758.30
20,26,76.44,756.47
20,27,76.88,753.51
20,28,77.80,756.36
20,29,78.24,753.39
20,30,75.41,754.37
21,0,41.10,535.64
21,1,44.09,535.39
21,2,47.08,535.13
21,3,50.06,534.85
21,4,53.05,534.56
21,5,56.03,534.26
21,6,59.02,533.94
21,7,62.01,533.77
21,8,65.01,533.59
21,9,68.00,533.40
21,10,70.99,533.19
21,11,73.99,532.98
21,12,76.98,532.74
21,13,79.97,532.48
21,14,82.95,532.20
21,15,85.94,531.89
21,16,88.92,531.54
21,17,91.89,531.15
21,18,94.86,530.69
21,19,97.86,530.71
21,20,100.86,530.72
21,21,103.85,530.74
21,22,106.85,530.77
21,23,109.85,530.82
21,24,112.85,531.00
21,25,111.24,528.48
21,26,108.24,528.59
21,27,111.23,528.77
21,28,108.23,528.88
21,29,111.23,529.06
21,30,108.23,529.17
22,0,367.03,740.68
22,1,364.13,739.93
22,2,361.26,739.04
22,3,358.47,737.94
22,4,355.52,737.41
22,5,352.63,736.61
22,6,350.06,735.06
22,7,350.92,732.18
22,8,351.81,735.05
22,9,349.24,733.50
22,10,350.14,736.36
22,11,351.00,733.48
22,12,351.89,736.35
22,13,349.32,734.80
22,14,350.22,737.66
22,15,351.08,734.78
22,16,348.48,736.28
22,17,349.34,733.41
22,18,350.23,736.27
22,19,351.09,733.40
22,20,348.49,734.90
22,21,349.39,737.76
22,22,350.25,734.88
22,23,351.14,737.75
22,24,348.57,736.20
22,25,349.43,733.32
22,26,350.33,736.19
22,27,351.19,733.31
22,28,348.59,734.81
22,29,349.48,737.67
22,30,350.34,734.80
23,0,508.13,505.28
23,1,507.06,508.08
23,2,505.94,510.86
23,3,504.90,513.67
23,4,503.81,516.47
23,5,502.82,519.30
23,6,501.76,522.11
23,7,500.63,524.89
23,8,499.70,527.74
23,9,498.70,530.57
23,10,497.62,533.36
23,11,496.70,536.22
23,12,495.68,539.04
23,13,494.54,541.82
23,14,493.63,544.68
23,15,492.57,547.48
23,16,491.31,550.20
23,17,490.44,553.08
23,18,489.25,555.83
23,19,487.43,558.22
23,20,487.37,561.22
23,21,487.33,558.22
23,22,487.27,561.21
23,23,487.24,558.22
23,24,487.17,561.21
23,25,487.14,558.21
23,26,487.07,561.21
23,27,487.04,558.21
23,28,486.97,561.21
23,29,486.94,558.21
23,30,486.88,561.21
24,0,30.81,784.74
24,1,30.27,781.79
24,2,29.71,778.84
24,3,29.29,775.87
24,4,28.85,772.90
24,5,28.37,769.94
24,6,27.85,766.99
24,7,27.29,764.04
24,8,26.67,761.10
24,9,26.31,758.12
24,10,25.90,755.15
24,11,25.44,752.19
24,12,24.90,749.24
24,13,24.26,746.31
24,14,23.47,743.41
24,15,23.37,740.41
24,16,23.21,737.42
24,17,22.91,734.43
24,18,20.22,733.11
24,19,23.22,732.93
24,20,20.53,731.60
24,21,22.59,733.79
24,22,19.90,732.46
24,23,22.89,732.28
24,24,20.20,730.96
24,25,22.26,733.14
24,26,19.57,731.81
24,27,21.63,733.99
24,28,18.94,732.67
24,29,21.93,732.49
24,30,19.24,731.16
25,0,28.70,180.14
25,1,31.49,179.05
25,2,34.47,178.69
25,3,37.40,178.05
25,4,39.50,175.91
25,5,37.37,178.02
25,6,39.47,175.88
25,7,37.34,177.99
25,8,39.44,175.85
25,9,37.31,177.96
25,10,39.41,175.82
25,11,37.29,177.93
25,12,39.39,175.79
25,13,37.26,177.90
25,14,39.36,175.76
25,15,37.23,177.87
25,16,39.33,175.73
25,17,37.20,177.84
25,18,39.30,175.70
25,19,37.17,177.81
25,20,39.27,175.67
25,21,37.14,177.79
25,22,39.24,175.64
25,23,37.11,177.76
25,24,39.21,175.61
25,25,37.08,177.73
25,26,39.18,175.58
25,27,37.05,177.70
25,28,39.15,175.56
25,29,37.02,177.67
25,30,39.12,175.53
26,0,13.99,47.94
26,1,16.01,45.72
26,2,17.52,43.13
26,3,19.49,40.87
26,4,21.28,38.46
26,5,18.35,37.80
26,6,21.35,37.60
26,7,18.42,36.94
26,8,21.41,36.75
26,9,18.49,36.09
26,10,21.48,35.90
26,11,20.80,38.82
26,12,23.80,38.63
26,13,20.87,37.97
26,14,23.87,37.77
26,15,20.94,37.11
26,16,23.93,36.92
26,17,21.01,36.26
26,18,18.08,35.60
26,19,19.98,37.92
26,20,22.98,37.72
26,21,20.05,37.06
26,22,23.05,36.87
26,23,20.12,36.21
26,24,23.11,36.02
26,25,20.19,35.36
26,26,22.09,37.67
26,27,19.16,37.01
26,28,22.16,36.82
26,29,19.23,36.16
26,30,22.23,35.97
27,0,142.80,611.73
27,1,144.61,609.34
27,2,146.30,606.86
27,3,148.07,604.44
27,4,149.81,602.00
27,5,151.65,599.62
27,6,153.46,597.23
27,7,155.10,594.72
27,8,156.87,592.29
27,9,158.58,589.83
27,10,160.44,587.47
27,11,162.24,585.08
27,12,163.78,582.51
27,13,165.52,580.06
27,14,167.14,577.54
27,15,169.07,575.23
27,16,170.89,572.85
27,17,173.28,571.04
27,18,174.81,568.46
27,19,173.39,565.82
27,20,175.73,567.69
27,21,174.31,565.05
27,22,173.43,567.92
27,23,176.17,566.69
27,24,175.30,569.56
27,25,173.87,566.92
27,26,176.22,568.79
27,27,174.79,566.15
27,28,173.92,569.02
27,29,176.66,567.79
27,30,175.23,565.15
28,0,463.74,611.76
28,1,466.21,610.06
28,2,468.62,608.27
28,3,471.05,606.52
28,4,473.42,604.67
28,5,475.88,602.96
28,6,478.38,601.29
28,7,480.79,599.51
28,8,483.24,597.78
28,9,485.58,595.91
28,10,488.08,594.24
28,11,490.46,592.41
28,12,492.88,590.65
28,13,495.38,588.99
28,14,497.65,587.03
28,15,500.26,585.55
28,16,502.60,583.67
28,17,505.10,582.01
28,18,506.23,579.23
28,19,509.14,579.96
28,20,506.17,580.39
28,21,509.09,581.11
28,22,506.12,581.55
28,23,509.03,582.27
28,24,507.32,579.80
28,25,504.35,580.24
28,26,507.26,580.96
28,27,504.29,581.39
28,28,507.20,582.12
28,29,505.49,579.65
28,30,508.41,580.38
29,0,532.47,822.66
29,1,531.78,825.58
29,2,531.01,828.48
29,3,530.12,831.34
29,4,529.59,834.30
29,5,528.93,837.22
